,Title,Date,Time,Score,Number of Comments
586,Protesters target Fremont County Sheriffs Office,2017-04-16,10:18:09,12,0
587,White House Says It Will No Longer Release Visitor Logs To The Public,2017-04-14,23:35:30,12812,1198
588,Fake landlord advertised his home on Gumtree and took deposits  then pretended his son had cancer,2017-04-16,03:57:22,28,3
589,One broadband choice counts as competition in new FCC proposal,2017-04-15,03:19:03,2717,282
590,Far-right group claims responsibility for Dortmund bus blast,2017-04-16,00:32:34,49,33
591,Pop star investigated by police over claims he raped 14-year-old girl after she was picked out of crowd at a concert in 1970s,2017-04-16,21:28:53,2,14
592,"Iraq forces make Mosul gains, but anti-IS war far from over",2017-04-16,13:49:44,5,4
593,Walmart is in advanced talks to acquire online mens retailer Bonobos,2017-04-16,04:32:42,24,1
594,Suspect arrested in killing of jogger Vanessa Marcotte,2017-04-16,04:00:46,25,2
595,UK coming together after Brexit - PM,2017-04-16,13:04:13,3,2
596,Pope Francis expresses shame over Catholic church sexual abuse scandals,2017-04-15,12:01:26,348,59
597,Turkey referendum: Historic vote on presidential powers under way,2017-04-16,08:10:36,7,5
598,Major Leak Suggests NSA Was Deep in Middle East Banking System,2017-04-15,03:17:45,1544,253
599,Toilet Paper Bandit steals from neighbor while out of town,2017-04-16,05:31:19,13,6
600,"Court Upholds $300,000 Fine After Trump Refuses to Pay Miami Paint Store",2017-04-17,03:13:51,15941,1425
601,Cleveland Police investigating shooting broadcasted on Facebook Live,2017-04-17,00:19:10,31754,13421
602,Alex Jones Defense in Upcoming Custody Battle Is That Hes a Fake,2017-04-17,08:33:30,1223,290
603,United Staff Will No Longer Take Seats of Boarded Passengers,2017-04-16,21:31:10,10262,1328
604,"Delta will now pay you up to $10,000 to give up your seat on an overbooked flight.",2017-04-17,09:20:27,483,88
605,"20 Shot, 3 Die in Easter Weekend Shootings in Philadelphia",2017-04-17,16:00:35,135,52
606,US and South Korea agree early deployment of THAAD missile defence system,2017-04-17,13:09:17,172,25
607,"Days after two officers in suburban Atlanta were fired when videos surfaced showing them kicking and punching a motorist, authorities have reportedly dismissed nearly 90 cases involving the pair.",2017-04-16,15:32:36,41819,2621
608,Christian man tortured in Pakistan for befriending Muslim woman,2017-04-17,01:13:21,1305,368
609,Median retirement savings for families between 44 and 49 is $6200,2017-04-17,06:44:01,312,289
610,Indian hacker group leaks data of 1.7 million Snapchat users after CEOs poor country comments: Report,2017-04-17,16:09:31,57,15
611,Turkey referendum: Erdogan wins vote to expand presidential powers.,2017-04-17,01:03:00,735,141
612,3 police officers arrested for drunk driving in 1 night,2017-04-17,17:03:58,36,5
613,Geography teacher cleared of raping pupil says men should stay away from teaching,2017-04-16,19:42:40,1749,1125
614,Second ICE Detainee at Adelanto Detention Center Dies in as Many Weeks,2017-04-17,06:03:54,212,45
615,North Korean official: Were ready for war if Trump wants it.,2017-04-17,07:07:48,175,83
616,"22,000 years of history evaporates after freezer failure melts Arctic ice cores",2017-04-17,00:57:48,522,95
617,$43M in cash found in empty Nigerian apartment,2017-04-17,07:56:59,138,33
618,Toxic chemical spill closes Atlanta freeway,2017-04-17,14:12:36,38,8
619,China and Russia have dispatched spy vessels to shadow a US aircraft carrier group heading to North Korean waters,2017-04-17,10:10:53,70,15
620,Unprecedented migrant situation in the Mediterranean,2017-04-17,12:15:02,47,6
621,"The North Korea problem is coming to a head, McMaster says",2017-04-17,02:45:46,267,198
622,OReillys Behavior Said to Have Helped Drive Megyn Kelly Out at Fox,2017-04-16,17:17:15,1322,131
623,Bride and groom booted off United flight in Houston,2017-04-16,19:39:44,727,373
624,Brown University to drop fee for low-income applicants,2017-04-17,06:16:11,95,15
625,IRS Just Hired Private Debt Collection Agencies to Chase Down Your Debt,2017-04-17,16:21:29,15,10
626,Plane crashes into Lidl supermarket in Portugal,2017-04-17,16:39:43,13,7
627,Terry Jones: Ive got dementia. My frontal lobe has absconded,2017-04-16,20:36:51,440,45
628,Pence arrives at U.S. base in South Korea next to DMZ border with North,2017-04-17,05:05:55,88,17
629,USS Arizona survivor laid to rest inside sunken battleship,2017-04-16,15:17:39,901,37
630,NASA astronauts space treasure map sparks hunt for Caribbean wrecks,2017-04-17,14:15:53,13,2
631,North Korea attempts but fails to launch missile: South Korea,2017-04-16,03:03:53,20922,1459
632,Forcibly reptriated Saudi woman: My family will kill me,2017-04-16,19:33:19,310,44
633,Another journalist is gunned down in Mexico  the fourth in just six weeks,2017-04-16,14:52:26,716,86
634,Verify: False information circulating in Steve Stephens manhunt,2017-04-17,17:23:19,4,2
635,White supremacist allegedly caught on video punching a woman in the face at a protest,2017-04-16,19:50:01,253,2274
636,Protesters rally in Istanbul over referendum result,2017-04-17,14:39:05,7,1
637,North Koreas missile launch may have been thwarted by US cyber attack,2017-04-17,03:22:09,58,53
638,Palestinians in Israeli jails hold mass hunger strike,2017-04-17,12:08:24,12,11
639,"Woman charged after Waffle House outburst, kidnapping",2017-04-17,17:54:31,6,0
640,US sends F-35 stealth fighters to UK to reassure Europe against Russian aggression,2017-04-17,16:35:42,5,5
641,Four die as light aircraft crashes in Portugal,2017-04-17,17:47:08,3,1
642,"Vietnamese village holds police, officials hostage over land dispute",2017-04-17,16:15:50,6,1
643,Judges call to reduce court delays in child-protection cases,2017-04-17,15:16:11,5,0
644,"Shots fired at Revere Carnival, police searching for shooter",2017-04-17,05:16:24,34,7
645,"3 teenagers, 1 infant shot at Alabama churchs Easter carnival",2017-04-16,17:41:31,280,89
646,P.E.I. familys 10-year-old son bumped from overbooked Air Canada flight,2017-04-16,21:04:54,136,39
647,At least 12 burned by noxious substance at Hackney bar,2017-04-17,12:28:43,7,0
648,Remains of Five Archbishops of Canterbury Discovered Under London Museum,2017-04-17,06:56:10,22,2
649,A Saudi womans plea for help exposes risks runaways face,2017-04-16,17:03:13,255,70
650,"Source of reported boom in Grandville, Michigan area unknown",2017-04-17,04:34:03,31,13
651,Army charges retired major general with rape against a minor in the 1980s,2017-04-16,15:23:19,287,87
652,Drug-related deaths overburden Maryland medical examiners office,2017-04-17,16:08:27,2,1
653,Hotel Industry Wages War Against Airbnb,2017-04-17,09:03:35,10,6
654,"Pot arrests continue in Massachusetts, even after legalization",2017-04-16,03:32:00,2628,326
655,South Korea charges ousted leader Park and Lotte chief with bribery,2017-04-17,13:04:00,6,0
656,"After U.S. Talks With Afghanistan, Hints at a Harder Line on Pakistan",2017-04-17,12:02:00,7,0
657,Woman attacks man with butter knife at Waffle House,2017-04-17,17:53:45,3,2
658,Shaq pays for funeral of teen who accidentally killed himself on Instagram,2017-04-16,04:50:43,1867,756
659,Border Wall Could Leave Some Americans on Mexican Side,2017-04-17,02:17:10,36,44
660,Last person born in 1800s dies at 117,2017-04-15,21:19:53,23581,1108
661,Violence spikes in Indian Kashmir after videos inflame tension,2017-04-17,13:45:45,4,1
662,California Man Accused Of Giving Co-Worker Cannabis-Laced Chocolate Bar,2017-04-16,23:58:11,51,18
663,North Korea nuclear: US working with China on response,2017-04-16,20:47:43,79,19
664,"Violent mob targets mentally ill man in Karachi, Pakistan",2017-04-16,21:02:08,77,12
665,Levaquin Antibiotics: Some Plaintiffs affected by serious Side Effects got Millions of Dollars. Lawyers Claim Pharmaceutical Company Knew Of Drug Risks.,2017-04-16,21:40:57,62,8
666,"Madison county covered bridge burns, arson suspected",2017-04-17,01:01:56,36,6
667,One of two missing Sydney crocodiles is found by family on Easter Sunday stroll,2017-04-17,08:57:50,8,5
668,Smoking to kill 200 million in China this century: WHO,2017-04-15,18:56:30,22966,2712
669,North Miami cop charged in shooting of autistic mans unarmed therapist,2017-04-15,19:35:07,8431,627
670,Police shot and Killed Army Veterans Service Dog,2017-04-16,06:19:13,754,283
671,Machine learning algorithms surpass doctors at predicting heart attacks,2017-04-17,18:00:58,1,0
672,James Bond star Clifton James dies aged 96,2017-04-16,17:51:11,78,12
673,Egyptian court clears American woman of child abuse charges after human rights criticism,2017-04-17,05:33:18,11,0
674,"Man to be arraigned, accused of shining laser in eyes of MSP trooper",2017-04-16,23:21:53,31,8
675,"Suspect in Cleveland Facebook killing may have been in Erie, Pa. - The Buffalo News",2017-04-17,16:43:42,0,0
676,China offers North Korea conditional security,2017-04-17,16:40:22,1,1
677,Syria war: At least 68 children among 126 killed in bus bombing,2017-04-16,18:09:28,61,8
678,"USAA sets $16 minimum wage, expands parental leave benefits",2017-04-15,20:08:06,3807,308
679,Bill Seeks to Enlist New York Hotels to Help Fight Sex Trafficking,2017-04-16,18:49:59,50,19
680,Ant Financial Raises MoneyGram Bid 36% to Fend Off Euronet,2017-04-17,12:26:12,3,0
681,Officials in small town Iowa trying to stop rumors from spreading by hosting rumor sessions.,2017-04-16,22:05:40,26,6
682,Delta Air Lines increases passenger compensation to $13k after dragging debacle,2017-04-16,02:37:16,915,200
683,Sylvester Stallone sues greedy film studio - BBC News,2017-04-16,19:58:39,38,14
684,Oil down slightly in subdued trade after failed North Korean missile test,2017-04-17,06:33:36,5,0
685,New York state allots $1M to create hate crimes task force,2017-04-16,21:41:18,21,24
686,ATFs focus on firearm sales by police may be tied to gun seizure at Pasadena officers home,2017-04-16,17:19:26,45,18
687,Members of International Child Exploitation Conspiracy Plead Guilty,2017-04-16,17:44:41,38,3
688,"Saudis Seek 30 Solar, Wind Projects in $50 Billion Pledge",2017-04-17,17:28:46,0,0
689,"Right, left-wing protesters clash in Berkeley, California park",2017-04-16,00:33:08,944,2649
690,Erdogan ahead in Turkey referendum.,2017-04-16,19:32:23,29,9
691,"North Korean missile test fails, US says",2017-04-17,17:18:02,0,1
692,Underwater gas pipeline in Alaska fixed after leaking for almost 5 months.,2017-04-16,05:08:30,392,37
693,All-male panel ruled on rape bill during Marylands legislative session,2017-04-16,17:39:43,36,57
694,Thomas Klocke took his own life last June after he was accused of sexual misconduct. His father has filed a lawsuit claiming the university violated Title IX and discriminated against his son.,2017-04-16,10:58:35,113,18
695,"9 wounded in Ohio club shooting, police say",2017-04-16,14:13:36,59,22
696,Apples cash hoard swells to record $246.09 billion,2017-04-16,04:29:10,337,408
697,Hikers savor final days of access to popular trail near Hollywood sign as some locals protest closure,2017-04-16,16:25:55,37,7
698,"Internet, computer pioneer Robert W Taylor dies",2017-04-16,17:14:50,29,1
699,Iraq: Islamic State launches chlorine gas attacks in western Mosul,2017-04-16,05:54:40,193,70
700,West Virginia to become 29th state to legalise marijuana for medical use,2017-04-18,00:19:27,10083,338
701,New video shows United passenger was anything but belligerent,2017-04-18,01:52:16,3014,741
702,"Coachella festivalgoers use Find my iPhone app to locate man with 100 stolen cellphones, police say",2017-04-17,20:07:46,13436,1024
703,"20 Shot, 3 Die in Easter Weekend Shootings in Philadelphia",2017-04-17,16:00:35,17736,3780
704,3 police officers arrested for drunk driving in 1 night,2017-04-17,17:03:58,6706,358
705,"Wells Fargo exec was fired for not scamming N.J. customers, lawsuit says",2017-04-18,00:20:33,1063,38
706,Indian hacker group leaks data of 1.7 million Snapchat users after CEOs poor country comments: Report,2017-04-17,16:09:31,4454,678
707,"Americans think its safer to use marijuana than opioids to relieve pain, but they were less comfortable with children and pregnant women using pot to treat medical conditions",2017-04-17,22:33:17,636,159
708,"Texas teen who survived 3,000-foot fall in sky diving accident wins $760,000 in lawsuit",2017-04-18,00:30:14,399,188
709,"Minnesota Department of Health:9th measles case, all in unvaccinated kids",2017-04-18,03:46:47,204,38
710,"Four months after marijuana became legal in Massachusetts, people still are getting arrested for pot-related offenses",2017-04-17,19:08:02,942,104
711,OReilly faces investigations after settlements,2017-04-17,18:12:17,1081,134
712,Marine who lost leg in Afghanistan runs Boston Marathon with U.S. flag.,2017-04-17,23:54:07,324,44
713,Manhunt Expands Outside Ohio for Suspect in Videotaped Fatal Shooting,2017-04-17,23:45:53,312,140
714,"Delta will now pay you up to $10,000 to give up your seat on an overbooked flight.",2017-04-17,09:20:27,3627,556
715,IRS Just Hired Private Debt Collection Agencies to Chase Down Your Debt,2017-04-17,16:21:29,887,276
716,Alex Jones Defense in Upcoming Custody Battle Is That Hes a Fake,2017-04-17,08:33:30,3946,1074
717,US and South Korea agree early deployment of THAAD missile defence system,2017-04-17,13:09:17,1292,135
718,New poll finds majority of Americans have smoked pot,2017-04-18,04:48:49,64,27
719,"Court Upholds $300,000 Fine After Trump Refuses to Pay Miami Paint Store",2017-04-17,03:13:51,21082,2420
720,Veterans with PTSD are suing the Army to have their discharges upgraded,2017-04-18,02:17:52,95,28
721,Machine learning algorithms surpass doctors at predicting heart attacks,2017-04-17,18:00:58,416,120
722,"North Korea will test missiles weekly, monthly and yearly",2017-04-17,20:15:09,264,164
723,Police: Elizabethtown man accused of burning 5-year-old with hot knife after she wets the bed,2017-04-17,21:31:47,202,46
724,Conservationists Sue Feds Over Controversial Plan to Kill Bears and Mountain Lions,2017-04-18,00:10:01,121,15
725,Boeing plans more layoffs affecting hundreds of engineers: source,2017-04-17,20:37:37,224,88
726,Porn Studios Shut Down After Actor Possibly Tests Positive for HIV,2017-04-17,23:27:25,109,65
727,MIT expert claims latest chemical weapons attack in Syria was staged,2017-04-17,18:07:30,280,145
728,Cleveland Police investigating shooting broadcasted on Facebook Live,2017-04-17,00:19:10,32825,14937
729,Bizarre bivalve: first living giant shipworm discovered in Philippines,2017-04-17,23:17:17,92,20
730,"Allied forces knew about Holocaust two years before discovery of concentration camps, secret documents reveal",2017-04-18,03:19:57,28,31
731,Large buckle in road closes second interstate in Atlanta,2017-04-17,20:18:37,115,33
732,"New Pulse review from Orlando police reveals details, lessons learned. Nearly half of those killed in the Pulse nightclub shooting died where they were dancing, without a chance to react or run for help. Thirteen died in the bathrooms waiting for help during the three-hour hostage situation.",2017-04-18,03:26:19,26,10
733,Woman gets 6 years after causing accident that led to death of a motorcyclist in a fit of road rage,2017-04-17,23:30:13,57,55
734,United Staff Will No Longer Take Seats of Boarded Passengers,2017-04-16,21:31:10,11309,1534
735,Arkansas having a hard time finding enough citizen volunteers to witness executions,2017-04-17,22:06:38,62,67
736,Verify: False information circulating in Steve Stephens manhunt,2017-04-17,17:23:19,151,100
737,"A doctor prescribed oxycodone for Prince under the name of the musicians friend to protect his privacy, according to court documents unsealed Monday.",2017-04-17,18:20:45,114,33
738,"Co-pilot caught with loaded gun at airport arrested, TSA says",2017-04-18,00:35:45,33,19
739,"1st woman to officially run Boston Marathon does it again, 50 years later",2017-04-18,04:16:08,17,2
740,Toxic chemical spill closes Atlanta freeway,2017-04-17,14:12:36,222,40
741,Air Canada bumps 10-year-old boy from flight with family,2017-04-18,04:37:26,15,5
742,Portland woman attempted to traffic three year old for sex.,2017-04-18,05:57:34,12,6
743,FBI Uses BitTorrent to Find and Catch Child Porn Offenders,2017-04-18,00:15:20,31,20
744,Apparent mountain lion enters bedroom and snatches barking dog,2017-04-18,04:45:33,12,10
745,North Korean envoy warns of nuclear war possibility,2017-04-18,02:57:18,16,28
746,"Witnesses say military helicopter crashes on golf course in St. Marys County, Maryland.",2017-04-17,22:11:22,40,7
747,U.S. customs release image of mock IED that caused hours of delays at Pearson Airport in Toronto,2017-04-18,01:43:09,20,12
748,Climate change-induced melting of glacier causes Canadian river to dry up completely in first observed case of river piracy,2017-04-17,19:15:00,62,8
749,Christian man tortured in Pakistan for befriending Muslim woman,2017-04-17,01:13:21,1790,579
750,Median retirement savings for families between 44 and 49 is $6200,2017-04-17,06:44:01,627,944
751,Boeing plans hundreds of layoff notices for engineers this week,2017-04-18,04:57:13,10,1
752,Crew member killed after Blackhawk helicopter crashes on Maryland golf course,2017-04-18,01:43:05,16,8
753,Police Search For Driver In Milford After Hit And Run Kills Child,2017-04-18,03:49:30,9,1
754,Portland woman accused of offering 3-year-old child for sex,2017-04-18,00:51:10,16,14
755,"Days after two officers in suburban Atlanta were fired when videos surfaced showing them kicking and punching a motorist, authorities have reportedly dismissed nearly 90 cases involving the pair.",2017-04-16,15:32:36,41998,2649
756,"After Princes death, police found pills in suitcase, vitamin bottles, info released regarding investigation into his death",2017-04-18,03:24:59,10,3
757,$43M in cash found in empty Nigerian apartment,2017-04-17,07:56:59,353,59
758,Unprecedented migrant situation in the Mediterranean,2017-04-17,12:15:02,154,109
759,North Korean official: Were ready for war if Trump wants it.,2017-04-17,07:07:48,368,295
760,"If you think Atlanta traffic is terrible, it just got a whole heck of a lot worse",2017-04-17,22:26:44,23,13
761,U.S. EPA plans to repeal and replace the Clean Water Rule with two separate rulemaking processes,2017-04-18,05:29:43,7,1
762,China and Russia have dispatched spy vessels to shadow a US aircraft carrier group heading to North Korean waters,2017-04-17,10:10:53,206,48
763,Terrorist baby faces US embassy interview after error on visa form,2017-04-17,19:25:34,37,22
764,Iraqi police accuse Daesh of chemical weapons attack in Mosul,2017-04-17,23:17:32,17,7
765,No relief in sight as heat wave continues to build across northern India,2017-04-18,05:41:36,6,0
766,Survivor contestant who outed transgender player is fired from job,2017-04-18,00:05:46,15,37
767,Maduro orders Venezuela army into streets,2017-04-17,21:31:50,23,7
768,"Allan Holdsworth, guitar legend, passes at age 70",2017-04-18,02:59:25,8,2
769,Navy ordered to pay compensation for causing sailors smoking habit,2017-04-17,22:38:49,16,12
770,"First Woman to Enter the Boston Marathon Runs It Again, 50 Years Later",2017-04-18,02:42:37,6,0
771,Canada to strip citizenship of Guatemalan massacre suspect,2017-04-17,19:30:33,32,3
772,Turkey referendum: Erdogan wins vote to expand presidential powers.,2017-04-17,01:03:00,873,177
773,Arkansas high court halts Monday nights executions,2017-04-18,02:50:20,6,2
774,Benicia California High School teacher arrested for having sex with student,2017-04-18,05:39:26,3,3
775,Second ICE Detainee at Adelanto Detention Center Dies in as Many Weeks,2017-04-17,06:03:54,298,62
776,McKinney Boy Invents Device to Prevent Hot Car Deaths,2017-04-17,21:34:12,19,25
777,Geography teacher cleared of raping pupil says men should stay away from teaching,2017-04-16,19:42:40,1932,1358
778,Nearly $1M worth of drugs seized at U.S.-Mexico border,2017-04-18,06:38:43,3,0
779,Boy crushed in rotating restaurant named - BBC News,2017-04-18,02:43:38,7,7
780,Courts Are Using AI to Sentence Criminals,2017-04-17,21:27:54,17,15
781,NASA astronauts space treasure map sparks hunt for Caribbean wrecks,2017-04-17,14:15:53,54,4
782,"22,000 years of history evaporates after freezer failure melts Arctic ice cores",2017-04-17,00:57:48,649,119
783,Baltimore police create review panel to approve homicide arrests over prosecutors objections,2017-04-18,03:12:17,5,0
784,No ebay for australia because of GST.,2017-04-18,05:51:44,3,1
785,UN: Nearly half a million Iraqis have fled Mosul fighting,2017-04-17,19:30:54,20,0
786,"Woman charged after Waffle House outburst, kidnapping",2017-04-17,17:54:31,25,12
787,"Alabama teen, Alissia Myra Freeman Who disappeared last year is alive and well.",2017-04-18,05:37:23,3,2
788,Plane crashes into Lidl supermarket in Portugal,2017-04-17,16:39:43,33,9
789,Woman attacks man with butter knife at Waffle House,2017-04-17,17:53:45,27,11
790,"Vietnamese village holds police, officials hostage over land dispute",2017-04-17,16:15:50,33,10
791,Saudi Arabia urged to probe death of transgender woman,2017-04-18,05:13:48,3,12
792,"Man suspected of killing pregnant wife in city found dead in Baltimore County, police say",2017-04-17,22:10:08,12,0
793,US sends F-35 stealth fighters to UK to reassure Europe against Russian aggression,2017-04-17,16:35:42,24,32
794,Palestinian terrorist gets four life sentences for attack that killed US teen,2017-04-17,19:26:03,16,1
795,"None of the medications found in Princes home following his death last year were prescribed to him, according to court documents unsealed Monday",2017-04-18,06:27:03,1,0
796,"The North Korea problem is coming to a head, McMaster says",2017-04-17,02:45:46,322,258
797,Judges call to reduce court delays in child-protection cases,2017-04-17,15:16:11,33,0
798,Brown University to drop fee for low-income applicants,2017-04-17,06:16:11,163,45
799,Cascade Mall shooting defendant dies in jail,2017-04-17,20:41:10,12,8
800,Police: Cleveland Facebook killer kills self in Erie,2017-04-18,19:39:10,20133,4212
801,"A 25-year-old Sikh cab driver in the US was assaulted and his turban knocked off by drunk passengers, an incident the police was investigating as a possible hate crime.",2017-04-18,15:38:11,18637,3286
802,Unsubsidized wind and solar now the cheapest source for new electric power,2017-04-18,16:56:40,2281,299
803,"Leader of Cal-Exit Drops Bid for California to Secede, Instead Moves to Russia",2017-04-18,18:33:01,770,389
804,Nonprofit Working To Block Drug Imports Has Ties To Pharma Lobby,2017-04-18,16:59:38,890,72
805,United CEO says no one will be fired for dragging incident,2017-04-18,21:13:11,373,315
806,New video shows United passenger was anything but belligerent,2017-04-18,01:52:16,35114,6570
807,West Virginia to become 29th state to legalise marijuana for medical use,2017-04-18,00:19:27,28565,1008
808,Police: 8-year-old boy person of interest in toddlers death at daycare,2017-04-18,16:26:34,353,112
809,FBI: Texas man with extremist views planned mass shooting,2017-04-18,22:37:03,113,58
810,U.N. Experts Condemn Killing and Torture of Gay Men in Chechnya,2017-04-18,15:41:13,335,114
811,Straw purchaser with 4 felony gun charges will not get jail time,2017-04-18,18:56:00,177,313
812,Banned pollutant detected in water running under Marine base on Okinawa,2017-04-18,17:54:45,214,13
813,Harvard Activists Say Theyre So Sorry for Posting Fake Deportation Notices,2017-04-18,16:49:43,254,262
814,Indian firms Zika virus vaccine 100% efficient in animal trials,2017-04-18,19:46:32,142,7
815,Richard Simmons hospitalized in California,2017-04-18,21:25:04,92,27
816,"Wells Fargo exec was fired for not scamming N.J. customers, lawsuit says",2017-04-18,00:20:33,3846,154
817,Archaeologists make major discovery in Egypts Luxor,2017-04-18,18:58:39,110,27
818,US intercepts 2 Russian bombers off Alaskas coast,2017-04-18,23:31:40,45,35
819,"Coachella festivalgoers use Find my iPhone app to locate man with 100 stolen cellphones, police say",2017-04-17,20:07:46,17891,1272
820,4 teens found mutilated in New York park identified,2017-04-18,21:55:05,59,26
821,"Minnesota Department of Health:9th measles case, all in unvaccinated kids",2017-04-18,03:46:47,1597,350
822,Mid-South couple recorded berating restaurant employees in racist rant,2017-04-18,16:34:48,138,48
823,New poll finds majority of Americans have smoked pot,2017-04-18,04:48:49,1154,374
824,Silicon Valley CEO Pleads No Contest to Abusing His Wifeand Is Offered a Deal for Less Than 30 Days in Jail,2017-04-18,07:46:50,663,149
825,"Special Report: Police describe kill rewards, staged crime scenes in Dutertes drug war",2017-04-18,17:20:20,106,39
826,"1 killed, 2 hurt in shooting in downtown Fresno, California",2017-04-18,23:56:36,33,19
827,Smoke pot in Oregon? Your name now protected from feds,2017-04-18,22:41:53,33,2
828,How Many Military Families Need Food Assistance? The Pentagon Doesnt Know,2017-04-18,21:21:13,39,68
829,Man playing Judas in Easter play accidentally hangs himself,2017-04-18,21:02:15,44,17
830,Theyre so big they just do what they want Apple hauled to court over unfair repair policy,2017-04-18,22:10:37,36,13
831,United CEO: Doctor being dragged off plane was watershed moment,2017-04-18,21:08:03,38,19
832,Detroit doctor charged with female genital mutilation ordered to jail,2017-04-18,21:39:29,31,20
833,"After violating parole, Planet Fitness peeping Tom sent back to prison",2017-04-18,18:15:03,53,12
834,Womens Rights Group to Fly Aerial Banner During Bill OReilly Protest,2017-04-18,15:59:02,75,28
835,"20 Shot, 3 Die in Easter Weekend Shootings in Philadelphia",2017-04-17,16:00:35,18268,3920
836,3 police officers arrested for drunk driving in 1 night,2017-04-17,17:03:58,7479,463
837,"In Portugal, Drug Use Is Treated As A Medical Issue, Not A Crime",2017-04-18,21:16:47,26,16
838,NASA launches a rocket at Cape Canaveral for an International Space Station resupply mission,2017-04-18,19:09:39,38,10
839,"Texas teen who survived 3,000-foot fall in sky diving accident wins $760,000 in lawsuit",2017-04-18,00:30:14,1215,503
840,"US military considers shooting down North Korea missile tests, sources say",2017-04-18,18:15:56,47,31
841,U.S. Supreme Court denies Arkansas request to begin executions,2017-04-18,09:37:14,215,105
842,"When Rising Seas Transform Risk Into Certainty: Along parts of the East Coast, the entire system of insuring coastal property is beginning to break down.",2017-04-18,20:44:20,25,15
843,Berkeley police get flak for hands-off approach to protest mayhem,2017-04-18,22:22:34,20,106
844,VA tests partnership with CVS to reduce veterans wait times,2017-04-18,19:08:32,36,11
845,"Anti-depressant use before, during pregnancy tied to autism risk",2017-04-18,19:07:22,35,5
846,Thwarted attack rattles France days before presidential vote,2017-04-18,17:37:33,42,24
847,"U.S. housing starts fall in March, permits rise",2017-04-18,16:40:44,47,11
848,A water shortage warning has been issued to 8.1 million residents from Orlando to the Florida Keys,2017-04-18,22:38:12,17,9
849,"Americans think its safer to use marijuana than opioids to relieve pain, but they were less comfortable with children and pregnant women using pot to treat medical conditions",2017-04-17,22:33:17,1302,273
850,Indian hacker group leaks data of 1.7 million Snapchat users after CEOs poor country comments: Report,2017-04-17,16:09:31,4997,772
851,Dunkin Donuts slaying suspect now on FBIs Most Wanted,2017-04-18,21:44:45,18,4
852,"Alligator climbs to a second-story Mount Pleasant, SC porch, through a screen door and then refuses to leave",2017-04-18,17:34:28,34,16
853,"Dutch city allows pro-Hamas event, bans counter protest",2017-04-18,23:52:33,10,0
854,"Police investigate possible shooting with multiple people hurt in downtown Fresno, CA",2017-04-18,22:42:06,13,6
855,Libya fishermen find 28 dead migrants in boat offshore,2017-04-18,20:12:11,18,9
856,White supremacist Richard Spencer promises showdown tonight on Auburn Universitys campus,2017-04-19,00:02:59,7,52
857,Marine who lost leg in Afghanistan runs Boston Marathon with U.S. flag.,2017-04-17,23:54:07,768,157
858,Additional U.S. troops reportedly arrive in Anbar to partake in anti-IS campaign,2017-04-18,21:13:03,14,0
859,Man Gets 25 Years In 1979 Case Of Missing Boy Etan Patz,2017-04-18,23:25:37,8,0
860,Israeli officials slam NYT for not identifying Barghouti as murderer in Op-Ed,2017-04-18,17:39:52,25,7
861,Dutch navy seizes 700 kilos of cocain on Carribean,2017-04-18,20:27:18,15,13
862,"Venezuelas Bread Wars: With Food Scarce, Government Accuses Bakers Of Hoarding",2017-04-18,17:55:38,22,27
863,Oklahoma Sherrifs Deputy Shot and Killed. Manhunt For Shooter Underway.,2017-04-18,23:28:33,7,5
864,Northville doctor Dr. Jumana Nagarwala charged with genital mutilation in federal court,2017-04-18,21:16:02,12,17
865,Teen accused of mentioning ISIS in bomb threat,2017-04-18,19:31:04,16,7
866,Video of woman getting punched at Berkeley protest sparks outrage,2017-04-18,19:42:20,13,425
867,"Four months after marijuana became legal in Massachusetts, people still are getting arrested for pot-related offenses",2017-04-17,19:08:02,1377,128
868,Spiders knit 30-metre shimmering web in New Zealand field,2017-04-18,22:59:30,7,8
869,Okla. Woman Gets Life for Dressing as a Witch to Terrorize Her 7-Year-Old Granddaughter,2017-04-18,07:56:01,130,80
870,Manhunt Expands Outside Ohio for Suspect in Videotaped Fatal Shooting,2017-04-17,23:45:53,566,284
871,"In rare fumble, Goldman stuns Wall Street with weak trading",2017-04-18,19:24:31,15,0
872,F**k off back to India - Irish womans racist abuse caught on camera on Limerick train,2017-04-19,00:19:27,3,2
873,Veterans with PTSD are suing the Army to have their discharges upgraded,2017-04-18,02:17:52,336,60
874,French police thwart imminent terror attack,2017-04-18,21:20:11,12,1
875,Rouhani: Iran Will Seek No Ones Permission to Produce Missiles,2017-04-18,18:19:31,18,13
876,NCAA returns events to NC after state rolls back LGBT law,2017-04-18,21:38:36,10,9
877,OReilly faces investigations after settlements,2017-04-17,18:12:17,1398,177
878,"Allied forces knew about Holocaust two years before discovery of concentration camps, secret documents reveal",2017-04-18,03:19:57,253,159
879,South Sudanese refugees take 13 UN staff hostage in the DRC,2017-04-19,00:24:12,4,0
880,"Sumo, WWE, and MMA star Akebono placed in medically induced coma following match",2017-04-18,13:12:38,40,4
881,Minnesota confirms 9th measles case,2017-04-18,14:48:40,29,7
882,New Bill OReilly Accuser Says He Called Her Hot Chocolate and Leered,2017-04-19,00:18:32,4,3
883,Conservationists Sue Feds Over Controversial Plan to Kill Bears and Mountain Lions,2017-04-18,00:10:01,376,54
