,Title,Date,Source
61,"Trump Organization settles restaurant suit with second chef, Geoffrey Zakarian",2017-04-10,Washington Post
62,Maryland man wins lottery twice at same Silver Spring convenience store,2017-04-11,Washington Post
63,Officer is injured in incident on Birney Place SE,2017-04-10,Washington Post
64,Man arrested in fatal stabbing in Southeast D.C.,2017-04-10,Washington Post
65,"North Carolina bill proposes pulling UNC, N.C. State from ACC if it boycotts state again",2017-04-12,Washington Post
66,Georgetown Hoyas sports roundup,2017-04-12,Washington Post
67,Carolyn Hax: Feeling monopolized by relatives,2017-04-11,Washington Post
68,The fight between cosmetic legends Helena Rubinstein and Elizabeth Arden,2017-04-06,Washington Post
69,The key to raising happy kids? The latest trend says do as the Dutch do.,2017-04-06,Washington Post
70,Tech companies are pushing the FCC to preserve its net neutrality rules,2017-04-12,Washington Post
71,Most Americans want to let cities build and sell homegrown Internet service,2017-04-11,Washington Post
72,A chicken nugget-loving teen is on track to break the all-time retweet record,2017-04-10,Washington Post
73,Want to boycott United? Good luck with that.,2017-04-11,Washington Post
74,Weighing the benefits of selling a home vs. renting it when relocating,2017-04-12,Washington Post
75,"As equity rises, many homeowners use refinancings to free up cash",2017-04-11,Washington Post
76,"EPA staffer leaves with a bang, blasting agency policies under Trump",2017-04-07,Washington Post
77,New withdrawal options for TSP investors proposed,2017-04-06,Washington Post
78,"A 20-story, amenity-filled apartment building is planned for downtown Silver Spring",2017-04-12,Washington Post
79,How to fix that scary roof-popping noise,2017-04-11,Washington Post
80,Trump seems dazzled by being able to bomb Syria over dessert,2017-04-12,Washington Post
81,"D.C.-area forecast: On the warm side through the weekend, with a few showers along the way",2017-04-12,Washington Post
82,"Did National Zoo wean panda cub Bei Bei too soon? A petition with 2,500 signatures says yes.",2017-04-12,Washington Post
83,"Marine accused of lying in sexual misconduct case is set to plead guilty, court records show",2017-04-12,Washington Post
84,Melania Trump settles lawsuits with Daily Mail,2017-04-12,Washington Post
85,"Reasons for Capitals fans to be optimistic, and sobering facts to bring you back to Earth",2017-04-12,Washington Post
86,Bear cub found on a porch in Maryland causes an Internet stir,2017-04-12,Washington Post
87,"D.C., Maryland and Virginia health code violations",2017-04-10,Washington Post
88,How Trump turned a White House Easter Egg Roll devotee into a political activist,2017-04-10,Washington Post
89,Did caring for a profoundly sick daughter cost a mother her job at Walmart?,2017-04-06,Washington Post
90,"The no-frills, very British way to host an afternoon tea",2017-04-10,Washington Post
91,Making a springtime dinner? Pair a salad with it.,2017-04-11,Washington Post
92,"Quick to make, fun to eat: Why Chinese lettuce wraps will never go out of style",2017-04-10,Washington Post
93,How what you wear can help you avoid surveillance,2017-03-20,BBC News
94,In the deep sea there live 'crabs' that look like yetis,2017-04-12,BBC News
95,The most sophisticated people you never knew,2017-04-10,BBC News
96,Is the world running out of fresh water?,2017-04-12,BBC News
97,"Staffer accidentally shoots, hurts self at NRA headquarters",2017-04-07,USA Today
98,10 fast-food restaurants with secret menu items,2017-04-10,USA Today
99,K.T. McFarland to leave White House amid NSC shakeup,2017-04-09,USA Today
100,Cook County judge killed in shooting near his Chicago home,2017-04-10,USA Today
101,Woman who fell from the bridge during the London terror attack dies,2017-04-07,USA Today
102,Trump touts progress but no breakthrough after meeting with China's Xi,2017-04-07,USA Today
103,"Video shows an officer slamming, then pummeling a black man accused of jaywalking",2017-04-12,Washington Post
104,Trump backs off fiscal pledges and adopts centrist policies that he once fought,2017-04-12,Washington Post
105,Trump administration moving quickly to build up nationwide deportation force,2017-04-12,Washington Post
106,The unforgivable mistake Sean Spicer makes every day,2017-04-12,Washington Post
107,What the Freedom Caucus stands for,2017-04-12,Washington Post
108,How Jeff Sessions can offer justice to the wrongfully convicted,2017-04-12,Washington Post
109,Border agents can look at everything on your cell phone. Congress should change that.,2017-04-12,Washington Post
110,"The oldest known relative of dinosaurs was a total freak, experts say",2017-04-12,Washington Post
111,"Burger King thought it had a great idea. Instead, it ended up with a Whopper of a problem.",2017-04-12,Washington Post
112,"She went to Ancestry.com for a family tree. Instead, she found a stolen identity.",2017-04-13,Washington Post
113,Shine on you crazy crustacean: This shrimp kills with sound and is named after Pink Floyd,2017-04-13,Washington Post
114,Trump appears dazzled by being able to bomb Syria over dessert,2017-04-12,Washington Post
115,"After record quarter of fundraising, Paul Ryan dips a toe into Georgia House race",2017-04-13,Washington Post
116,Latino political group turning attention from Washington to state capitals,2017-04-13,Washington Post
117,From physician to felon: A doctor warns how easy it is to be bribed,2017-04-11,Washington Post
118,Jailed while pregnant: A woman claims guards ignored her pleas and killed her unborn baby,2017-04-13,Washington Post
119,Trump fought the Blob and the Blob won. Why?,2017-04-13,Washington Post
120,This is how the Russian media covered the missile strikes in Syria,2017-04-13,Washington Post
121,D.C. mayor to propose bill expanding rights of sexual assault victims,2017-04-12,Washington Post
122,St. Louis sues NFL over relocation of Rams to Los Angeles,2017-04-12,Washington Post
123,"Capitals-Maple Leafs Stanley Cup Playoffs Game 1 preview: Time, channel, lineups, injuries",2017-04-13,Washington Post
124,"Aaron Hernandez smiles, blows kisses to his daughter as jury deliberations continue",2017-04-13,Washington Post
125,What to do when an open floor plan leaves a room feeling disjointed,2017-04-12,Washington Post
126,These are complicated times for the U.S. Holocaust Memorial Museum,2017-04-12,Washington Post
127,What Google and Facebook must do about one of their biggest problems,2017-04-12,Washington Post
128,"Whole Foods has a big, basic problem it desperately needs to solve",2017-04-12,Washington Post
129,Go for size and stability when buying a car for your teen driver,2017-04-12,Washington Post
130,Newly designed co-living apartments in D.C. bring sophistication to group housing,2017-04-12,Washington Post
131,Sales to begin soon on new 123-unit luxury condos in downtown McLean,2017-04-13,Washington Post
132,D.C.-area forecast: Pleasant spring conditions through the weekend,2017-04-13,Washington Post
133,"Look, the Capitals actually deserve to win the Stanley Cup this time",2017-04-12,Washington Post
134,Safety in net: Braden Holtby brings stability where Capitals once had uncertainty,2017-04-11,Washington Post
135,Voltaggio Brothers Steak House Review: Sibling rivals team up to build a winner at MGM National Harbor,2017-04-11,Washington Post
136,Killer in slaying of retired World Bank economist may have cased home,2017-04-12,Washington Post
137,Maryland Democrats file complaint over email about Hogan fundraiser,2017-04-12,Washington Post
138,Up your Easter brunch game with one of these recipes,2017-04-12,Washington Post
139,The mystics who found meaning in solar panels,2017-04-11,BBC News
140,There is a weevil that has a giraffe's neck,2017-04-12,BBC News
141,Different nationalities really have different personalities,2017-04-13,BBC News
142,"Yes, your grandmother is having sex",2017-04-11,USA Today
143,Teacher on United flight took students off plane after incident,2017-04-11,USA Today
144,Decomposing bat found in prepackaged salad in Florida,2017-04-09,USA Today
145,More tax charges for Michael 'The Situation' Sorrentino and brother,2017-04-07,USA Today
146,Arrest made in killing of Chicago judge,2017-04-12,USA Today
147,"Fugitive who mailed antigovernment manifesto to Trump has been captured, authorities say",2017-04-14,Washington Post
148,Two police officers fired after video shows handcuffed man being kicked in the head,2017-04-13,Washington Post
149,United passenger: Dragging incident more horrifying than when he fled Vietnam,2017-04-13,Washington Post
150,Those adjustments Daniel Murphy made to his hitting form are obviously working,2017-04-13,Washington Post
151,"Massive U.S. bomb in Afghanistan killed 36 from Islamic State, say local officials",2017-04-14,Washington Post
152,Why is April 15 such a big deal in North Korea?,2017-04-14,Washington Post
153,Chocolate cake and chemistry repair U.S.-China ties. But will North Korea spoil the party?,2017-04-14,Washington Post
154,Democrats finally have a chance to win on taxes,2017-04-13,Washington Post
155,What Good Friday teaches us about cynicism,2017-04-13,Washington Post
156,The Trump pivot: Make the plutocrats happy. Keep feeding his voters nativism.,2017-04-14,Washington Post
157,Three other major issues Trump should flip-flop on,2017-04-14,Washington Post
158,Liberals have to avoid Trump Derangement Syndrome,2017-04-13,Washington Post
159,Woman fatally stabbed in Jerusalem amid Good Friday gatherings,2017-04-14,Washington Post
160,"Behind closed doors, Trump signs bill allowing states to strip federal family planning funds from abortion providers",2017-04-13,Washington Post
161,"Mexican narcos drop bodies, and warnings, from the skies",2017-04-13,Washington Post
162,This floating medical clinic offers a lifeline for the indigenous poor of the Amazon,2017-04-14,Washington Post
163,Fascinating photos of our solar system and beyond,2017-01-26,Washington Post
164,5 questions for a Washington Post reporter whose eyebrows became a meme,2017-04-14,Washington Post
165,"The governor of West Virginia brought a plate of B.S. to the statehouse, literally",2017-04-14,Washington Post
166,Detroit-area doctor charged with performing genital mutilation on girls,2017-04-13,Washington Post
167,On the Fifth Day,2017-04-14,Washington Post
168,Firefighters battle blaze at popular Fish in the Hood restaurant in Northwest,2017-04-14,Washington Post
169,Female pedestrian killed in Fairfax County in apparent hit-and-run,2017-04-14,Washington Post
170,Transferring Memphis player burns every possible bridge on his way out,2017-04-13,Washington Post
171,Breaking down the first round of the NBA playoffs,2017-04-14,Washington Post
172,Montgomery County celebrates lacrosse history with 20th anniversary team,2017-04-14,Washington Post
173,NY Post's 'Why I won't date hot women anymore' and other people you shouldn't date,2017-04-13,Washington Post
174,Katie Holmes and Jamie Foxx have decided to reveal the thing we all know,2017-04-13,Washington Post
175,Odd couple: Rachel Maddow and Roger Ailes are surprisingly friendly,2017-04-13,Washington Post
176,In the galleries: Medicine chests as a medium for reflection,2017-04-13,Washington Post
177,U.S. military drops GBU-43 bomb on Islamic State in Afghanistan,2017-04-13,Washington Post
178,"Yes, all debt is bad -- even mortgages and student loans",2017-04-14,Washington Post
179,Trump can start cutting the federal workforce right now,2017-04-13,Washington Post
180,Capitol Hill house gets its unique look from a variety of architectural styles,2017-04-14,Washington Post
181,Mortgage rates fall to their lowest levels of the year,2017-04-13,Washington Post
182,D.C.-area forecast: Springlike today but a warm front tomorrow may bring a summery Sunday,2017-04-14,Washington Post
183,2017 NFL draft: Is safety still a high priority for the Redskins?,2017-04-14,Washington Post
184,Maryland Six Flags roller coaster glitch strands 24 riders,2017-04-13,Washington Post
185,10 unexpected places to find great art in Washington,2017-04-12,Washington Post
186,Christina Tosi is planning to open two more locations of Milk Bar in Washington,2017-04-14,Washington Post
187,Two-year-old boy killed by felled tree in his own backyard,2017-04-13,Washington Post
188,"Spend 1 hour on dough, reap a pie-fecta",2017-04-14,Washington Post
189,The most frequently asked question after Easter dinner,2017-04-13,Washington Post
190,Dragon's Blood tree harvests water,2017-04-12,BBC News
191,The smiles that are anything but welcoming,2017-04-13,BBC News
192,We can learn a lot from how the French do lunch,2017-04-07,BBC News
193,This white hood carries many meanings,2017-04-13,BBC News
194,The teen who shot his parents,2017-04-13,BBC News
195,Robert Bentley resigns as Alabama governor; lieutenant governor replaces him,2017-04-10,USA Today
196,United Airlines says controversial flight was not overbooked; CEO apologizes again,2017-04-11,USA Today
197,"Gunman fires into Calif. elementary classroom, killing teacher, child",2017-04-10,USA Today
198,Body of judge on N.Y.'s highest court found in Hudson River,2017-04-12,USA Today
199,Why Trump may be about to decapitate North Korea: James Robbins,2017-04-12,USA Today
200,Judges block Arkansas from carrying out scheduled executions,2017-04-14,Washington Post
201,Trump administration officially declines to label China currency manipulator,2017-04-14,Washington Post
202,New report alleges decades of sexual abuse at elite Connecticut prep school,2017-04-14,Washington Post
203,Knicks President Phil Jackson emerges to point the finger at everyone but himself,2017-04-15,Washington Post
204,A look at North Koreans living in Pyongyang,2017-04-15,Washington Post
205,The Tax March: Protesters around the country call on Trump to release his taxes,2017-04-15,Washington Post
206,An industrial town's struggle to rebuild a prosperous working class,2017-04-15,Washington Post
207,Even Canadians are skipping trips to the U.S. after Trump travel ban,2017-04-14,Washington Post
208,Is rationality dawning on Trump?,2017-04-14,Washington Post
209,Republicans may be making a mistake by swinging only for the fences,2017-04-15,Washington Post
210,Car bomb kills scores of Syrians evacuating town after two years of siege,2017-04-15,Washington Post
211,Ex-Ravens tight end Todd Heap accidentally kills 3-year-old daughter,2017-04-15,Washington Post
212,Drug companies take aim at Arkansas executions and demand lethal injection drugs back,2017-04-14,Washington Post
213,N.Y. Post's 'Why I won't date hot women anymore' and other people you shouldn't date,2017-04-13,Washington Post
214,"After the United incident, passengers should know their rights. If bumped, ask for cash.",2017-04-11,Washington Post
215,Photos from North Korea during celebration of the birth of late leader Kim Il Sung,2017-04-15,Washington Post
216,"Some in Afghanistan question U.S. choice to use 22,000-pound bomb against ISIS",2017-04-14,Washington Post
217,Some vitamins and minerals may carry more risks than benefits,2017-04-14,Washington Post
218,Enslaved man who helped build U-Va. has a building named for him,2017-04-14,Washington Post
219,Explosion at University of Idaho sends four students to the hospital,2017-04-14,Washington Post
220,"Man swings chain at employees, smashes bottles at Reston bar",2017-04-15,Washington Post
221,Apple is finally going to test self-driving cars,2017-04-14,Washington Post
222,"California regulator cites Uber, alleging lax handing of drunk drivers",2017-04-14,Washington Post
223,Facebook fights fake news online with full-page print newspaper ads,2017-04-14,Washington Post
224,Only 2 of the 300 case studies read by first-year Harvard Business School students include black executives,2017-04-14,Washington Post
225,"D.C.-area forecast: Warm today then warmer tomorrow, and pretty much the same beyond",2017-04-15,Washington Post
226,"Capitals-Maple Leafs Stanley Cup playoffs Game 2 preview: Time, channel, lineups, injuries",2017-04-15,Washington Post
227,Redskins linebacker to play Sean Taylor in TV show about his murder,2017-04-15,Washington Post
228,"Fatal hit-and-run in Fairfax appears to be intentional, police say",2017-04-14,Washington Post
229,Maryland man who fatally shot firefighter is sentenced to 4 years in prison,2017-04-13,Washington Post
230,A bat ray goes hunting,2017-04-12,BBC News
231,The California land where no-one can live,2017-04-11,BBC News
232,Army charges retired general with rape against a minor in the 1980s,2017-04-14,USA Today
233,"United Airlines stock loses altitude, sheds $255 million in value",2017-04-11,USA Today
234,"Joseph Jakubowski, manhunt suspect who sent manifesto to Trump, captured in Wisconsin",2017-04-14,USA Today
235,The hottest vehicles we've seen at the New York auto show,2017-04-14,USA Today
236,"Fallon returns to SNL as Jared Kushner, wearing khakis and bulletproof vest",2017-04-16,Washington Post
237,"This is how to vote: Salt Bae casts ballot in Turkish referendum, and yes, it was amazing",2017-04-16,Washington Post
238,"SNL imagines the personal life of the guy who dragged a man off a United flight. Also, Pepsi.",2017-04-16,Washington Post
239,Virginia Tech was not the worst school massacre in U.S. history. This was.,2017-04-16,Washington Post
240,EPA emerges as major target after Trump solicits policy advice from industry,2017-04-16,Washington Post
241,"As tensions with North Korea flare, Trump spends quiet weekend at Mar-a-Lago",2017-04-16,Washington Post
242,"North Korea missile failure means no need for U.S. response, Americans say",2017-04-16,Washington Post
243,"After Virginia Tech mass shooting, big miracles at a small hospital",2017-04-15,Washington Post
244,'We remember': Candlelight memorial honors Virginia Tech shooting victims ten years later,2017-04-16,Washington Post
245,Trump asks why people are still talking about his taxes a day after protesters asked for his returns,2017-04-16,Washington Post
246,The secret presidency,2017-04-15,Washington Post
247,The case for impeaching President Donald J. Trump. (Too soon?),2017-04-13,Washington Post
248,Five myths about the cross,2017-04-14,Washington Post
249,National security adviser in Kabul for talks days after U.S. dropped massive bomb on ISIS forces,2017-04-16,Washington Post
250,"Reports about torture of gays in Chechnya produce no investigation, just threats against journalists",2017-04-16,Washington Post
251,Great local reporting stands between you and wrongdoing. And it needs saving.,2017-04-16,Washington Post
252,"@Work Advice: Oh, no! Here comes that chatty co-worker.",2017-04-11,Washington Post
253,Protests sweeping South America show rising antigovernment anger,2017-04-15,Washington Post
254,Washington Capitals-Toronto Maple Leafs series guide: Everything you need to know,2017-04-13,Washington Post
255,Capitals-Maple Leafs Game 3 preview: Can Washington regain control of this series?,2017-04-16,Washington Post
256,"Three large masterpieces, reunited for the first time",2017-04-14,Washington Post
257,The Trump bump has taken a Trump thump,2017-04-14,Washington Post
258,PM Update: Scattered showers and thunderstorms through the early evening. Much cooler on Monday.,2017-04-16,Washington Post
259,Best and worst moments from Wizards-Hawks Game 1: John Wall does it all,2017-04-15,Washington Post
260,Virginia man convicted of robberies will spend rest of life in prison,2017-04-15,Washington Post
261,Rex Tillerson and family tour the Holocaust Museum,2017-04-16,Washington Post
262,"For seniors, these vital tips can help you age well",2017-04-14,Washington Post
263,Is this any way for the Easter Bunny to treat a racing president?,2017-04-16,Washington Post
264,Capitals are getting stiffer test than they bargained for in Maple Leafs,2017-04-15,Washington Post
265,D.C.-area forecast: Easter Sunday feeling more like Memorial Day,2017-04-16,Washington Post
266,Hate-based vandalism is reported in Wheaton,2017-04-15,Washington Post
267,The deadly danger in common foods,2017-04-13,BBC News
268,Why reality is now too strange for satire,2017-04-12,BBC News
269,Why idle moments are crucial for creativity,2017-04-14,BBC News
270,Living in: Johannesburg,2017-04-14,BBC News
271,"Here's what happens to your body when you walk those recommended 10,000 steps",2017-04-14,USA Today
272,"How to stop those annoying, endless robocalls to your smartphone",2017-04-16,USA Today
273,"United Airlines's fiasco prompts apology, suspension; officer is put on leave",2017-04-10,USA Today
274,Cleveland police: Suspect posted killing video on Facebook,2017-04-16,USA Today
275,Videos from United Airlines flight incident may violate rules,2017-04-12,USA Today
276,What happens when you don't floss?,2017-04-15,USA Today
277,DNA leads to arrest in murder of jogger in Massachusetts,2017-04-16,USA Today
278,Multistate manhunt underway for suspect in Facebook homicide video,2017-04-17,Washington Post
279,"Pence tells North Korea not to test American resolve, offering Syria and Afghanistan strikes as examples",2017-04-16,Washington Post
280,"Two Republican lawmakers face anger, from their own voters, on health care",2017-04-16,Washington Post
281,Do members of Congress pay for 100 percent of their health insurance?,2017-04-17,Washington Post
282,"In Kiron, Iowa, pop. 229, the meaning of a life, a death and another cup of coffee",2017-04-16,Washington Post
283,"In divided Turkey, opposition groups challenge vote shifting powers to President Erdogan",2017-04-17,Washington Post
284,Venezuela and the eclipse of American leadership,2017-04-16,Washington Post
285,Vice President Pence: The secretary of reassurance,2017-04-16,Washington Post
286,Does Trump want to be the president who broke health care?,2017-04-16,Washington Post
287,Could states require President Trump to release his tax returns?,2017-04-16,Washington Post
288,The president suddenly notices that he missed a spot,2017-04-16,Washington Post
289,The number of Americans who think Trump keeps his promises is plummeting,2017-04-17,Washington Post
290,"Against all odds, a leftist soars in French election polls",2017-04-16,Washington Post
291,ICE immigration arrests of noncriminals double under Trump,2017-04-16,Washington Post
292,I went to Kusama and all I got was this lousy selfie,2017-04-14,Washington Post
293,Why not make more Kusama Infinity Rooms?,2017-04-14,Washington Post
294,"21,000 people and 18,000 eggs: the Trump White House braces for its first Easter Egg Roll",2017-04-17,Washington Post
295,These 26 photos show what Easter celebrations look like around the world,2017-04-16,Washington Post
296,5-year-old dies after getting crushed in Atlanta rotating restaurant,2017-04-17,Washington Post
297,"On weed, homeland security chief and attorney general could hardly be further apart",2017-04-17,Washington Post
298,Racism motivated Trump voters more than authoritarianism or income inequality,2017-04-17,Washington Post
299,"Despite rhetoric, Trump plan focuses more on staff cuts than good government",2017-04-17,Washington Post
300,Hallmarks of Soviet postwar building boom finally meeting their demise,2017-04-16,Washington Post
301,Are there too many music festivals?,2017-04-17,Washington Post
302,Headwinds and Tailwinds: Assessing the current economy,2017-04-17,Washington Post
303,Va. community once primed for streetcar struggling to find new energy,2017-04-16,Washington Post
304,Three men shot near Columbia Heights in Northwest Washington,2017-04-17,Washington Post
305,"Fairfax man barricades himself inside home with 2 children, police say",2017-04-17,Washington Post
306,"17-year-old girl dies from shark attack while surfing, with her mother and sisters looking on",2017-04-17,Washington Post
307,Stone Bridge hockey alums Cade Groton and Ryan Leibold adjust to life in juniors,2017-04-17,Washington Post
308,"Carolyn Hax: She has two jobs while he has none, but it pays to talk about it",2017-04-14,Washington Post
309,"Three-bedroom, two-bathroom rambler in Silver Spring lists for $395,000",2017-04-17,Washington Post
310,"D.C.-area forecast: Showers to start and end week, mostly nice in between",2017-04-17,Washington Post
311,"The Capitals expected a long series vs. Toronto, even if no one else did",2017-04-16,Washington Post
312,"In Game 1 slugfest, Wizards rediscover their grit to lead on all cards",2017-04-16,Washington Post
313,"Down to final strike, Bryce Harper saves Nationals with three-run homer to beat Phillies",2017-04-16,Washington Post
314,More contributions to D.C. Council member cannot be tracked to source,2017-04-16,Washington Post
315,Inmate dies in Fairfax County jail; police do not suspect foul play,2017-04-17,Washington Post
316,"Steam it, fry it, put it in a stew: Tofu 7 ways",2017-04-15,Washington Post
317,The trees keeping Vietnam afloat,2017-04-13,BBC News
318,Professor sues Walmart over 'clean toilets' description,2017-04-16,USA Today
319,Watch the first lady nudge President Trump for national anthem,2017-04-17,USA Today
320,Trump bashes tax protesters who want him to release his returns,2017-04-16,USA Today
321,"'Survivor' contestant outed as trans in tense, enlightening episode",2017-04-13,USA Today
322,"J. Geils of 1980s J. Geils band found dead in his Groton, Mass. home",2017-04-11,USA Today
323,'Survivor's' Jeff Varner fired after outing trans contestant,2017-04-16,USA Today
324,"United booted a couple traveling to their wedding, just days after public relations fiasco",2017-04-17,Washington Post
325,"Arkansas Supreme Court blocks planned executions, prompting state challenge",2017-04-17,Washington Post
326,"After a coldblooded killing in Cleveland, GoFundMe was flooded with questionable donation pages",2017-04-17,Washington Post
327,National manhunt underway for suspect in Facebook homicide video,2017-04-17,Washington Post
328,Boston Marathon 2017: Geoffrey Kirui tops American Galen Rupp and Edna Kiplagat cruises,2017-04-16,Washington Post
329,Argentine fan dies after being shoved from bleachers at soccer match,2017-04-17,Washington Post
330,"Trump calls Erdogan to congratulate him on contested referendum, Turkey says",2017-04-17,Washington Post
331,"In divided Turkey, president defends victory in referendum granting new powers",2017-04-17,Washington Post
332,Trump officials turn to courts to block Obama-era legacy,2017-04-17,Washington Post
333,"Hearing first arguments as member of the Supreme Court, Gorsuch jumps right in",2017-04-17,Washington Post
334,Meet the new Trump . . . same as the old Trump?,2017-04-17,Washington Post
335,"Sorry, Republicans, but most people support single-payer health care",2017-04-17,Washington Post
336,"After a series of flip-flops, Trump prepares to deliver on a key campaign pledge",2017-04-17,Washington Post
337,Trump finds himself on the defensive on a pair of government transparency issues,2017-04-17,Washington Post
338,The great dairy trade war that will test President Trump,2017-04-17,Washington Post
339,Trump has spent one out of every five minutes of his presidency in Palm Beach,2017-04-17,Washington Post
340,"She was attacked 50 years ago for being a woman in the Boston Marathon. On Monday, she ran it again at 70.",2017-04-17,Washington Post
341,Hallmarks of Soviet postwar building boom are finally meeting their demise,2017-04-16,Washington Post
342,"21,000 people and 18,000 eggs: The Trump White House holds its first Easter Egg Roll",2017-04-17,Washington Post
343,Racism motivated Trump voters more than authoritarianism,2017-04-17,Washington Post
344,"Two plaintiffs join suit against Trump, alleging breach of emoluments clause",2017-04-17,Washington Post
345,"White House warns North Korea not to test U.S. resolve, offering Syria and Afghanistan strikes as examples",2017-04-16,Washington Post
346,Head winds and tail winds: Assessing the current economy,2017-04-17,Washington Post
347,"17-hour standoff involving man, 2 children ends, Fairfax police say",2017-04-17,Washington Post
348,Metro rider was beaten and robbed on Red Line train,2017-04-17,Washington Post
349,Feds investigate claims that black and disabled students face harsher discipline in Richmond,2017-04-17,Washington Post
350,How Elena Delle Donne ended up joining the Washington Mystics,2017-04-17,Washington Post
351,Capitals-Maple Leafs Game 3 best and worst: Toronto wins in overtime,2017-04-16,Washington Post
352,"More bad news for Carmelo Anthony, who is allegedly separated from his wife, La La",2017-04-17,Washington Post
353,"Russian pianist quarrels, attacks and fox trots in spectacular debut at the Phillips",2017-04-17,Washington Post
354,What Windows users should know about the latest bugs revealed by NSA leakers,2017-04-17,Washington Post
355,"California regulator cites Uber, alleging lax handling of drunk drivers",2017-04-14,Washington Post
356,This bank will take cheese as collateral,2017-04-17,Washington Post
357,"PM Update: Cooler and drier air spills in tonight, sets up a terrific Tuesday",2017-04-17,Washington Post
